SPECIES,Sp_Rel_Code,Q1,W1,Q2,Relationship,AveDIST,Colony.Specific.Foraging.Distance,Col.All_Summer_Flower_Cover_Prop,Col.Worker_Preferred_Summer_Flower_Cover_Prop,Col.All_Spring_Flower_Cover_Prop,Col.Queen_Visited_Spring_Flower_Cover_Prop,Col.Spring_Plus_Summer_Flower_Cover_Prop,Col.Arable,Col.Mixed.Vegetation,Col.Nesting_high,250.All_Summer_Flower_Cover_Prop,250.Worker_Preferred_Summer_Flower_Cover_Prop,250.All_Spring_Flower_Cover_Prop,250.Queen_Visited_Spring_Flower_Cover_Prop,250.Spring_Plus_Summer_Flower_Cover_Prop,250.Arable,250.Mixed.Vegetation,250.Nesting_high,500.All_Summer_Flower_Cover_Prop,500.Worker_Preferred_Summer_Flower_Cover_Prop,500.All_Spring_Flower_Cover_Prop,500.Queen_Visited_Spring_Flower_Cover_Prop,500.Spring_Plus_Summer_Flower_Cover_Prop,500.Arable,500.Mixed.Vegetation,500.Nesting_high,1000.All_Summer_Flower_Cover_Prop,1000.Worker_Preferred_Summer_Flower_Cover_Prop,1000.All_Spring_Flower_Cover_Prop,1000.Queen_Visited_Spring_Flower_Cover_Prop,1000.Spring_Plus_Summer_Flower_Cover_Prop,1000.Arable,1000.Mixed.Vegetation,1000.Nesting_high
Bpas,Bpas_1454,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1455,0,3,0,Workers 2011 only ,  NA,254.3333333,0.749513687,0.027135993,0.499555543,0.451005279,0.478141272,0.438845332,0.095689147,0.053300103,0.748510582,0.026539916,0.500718351,0.451425133,0.477965049,0.437797812,0.094987355,0.052668821,0.735913658,0.030951609,0.554450928,0.509453283,0.540404892,0.572832157,0.14128664,0.097867602,0.547153452,0.01847476,0.378231828,0.342972276,0.361447036,0.722260326,0.103125246,0.077490488
Bpas,Bpas_1456,0,3,0,Workers 2011 only ,  NA,82.66666667,0.871442982,0.173554112,0.713605426,0.609016496,0.782570608,0.625716106,0.298297453,0.007490237,0.865381573,0.067929294,0.750311971,0.725266114,0.793195408,0.736910771,0.143797252,0.09329438,0.859980275,0.022978107,0.762978213,0.745498615,0.768476722,0.757029488,0.071710514,0.053089377,0.572263494,0.017957596,0.516676489,0.489101155,0.507058751,0.694574066,0.094013169,0.066663062
Bpas,Bpas_1457,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1458,0,2,0,Workers 2011 only ,  NA,389.5,0.72698267,0.032332648,0.476232078,0.42128003,0.453612678,0.457653879,0.174721358,0.135730703,0.760846871,0.019438619,0.500474871,0.441639446,0.461078065,0.452245037,0.130634419,0.075257572,0.698421709,0.032584723,0.471331569,0.411517808,0.444102531,0.502880012,0.177363255,0.136690417,0.547244966,0.018805619,0.345875083,0.309883526,0.328689145,0.716788515,0.101658074,0.079164455
Bpas,Bpas_1459,0,2,0,Workers 2011 only ,  NA,346,0.62001804,0.029350118,0.372121638,0.295705162,0.32505528,0.262052282,0.160951,0.096041714,0.592581008,0.017461953,0.240339308,0.152040426,0.169502379,0.095608802,0.127359443,0.033730426,0.670385331,0.033752056,0.484304423,0.418139192,0.451891248,0.432981106,0.16868127,0.131232894,0.561309873,0.019961165,0.396035858,0.35506009,0.375021255,0.701660673,0.101832141,0.080221789
Bpas,Bpas_1460,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1461,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1462,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1463,0,2,0,Workers 2011 only ,  NA,345,0.872021512,0.014708454,0.810035806,0.804047586,0.81875604,0.87103964,0.085982062,0.043484584,0.977027796,0.000021,0.933849687,0.932053664,0.932074664,0.952205648,0.017268272,0.036731005,0.707255604,0.023400395,0.698623611,0.688904667,0.712305062,0.861326406,0.089028921,0.050334057,0.530021545,0.01233911,0.533204877,0.518048971,0.530388081,0.751863804,0.068724942,0.03503601
Bpas,Bpas_1464,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1465,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1466,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1467,0,2,0,Workers 2011 only ,  NA,10,0.27152149,0.153412752,0.078152058,0.020402949,0.173815701,0,0.408652022,0.205870854,0.938790063,0.039345267,0.861740056,0.837111815,0.876457082,0.849780741,0.093838713,0.06203639,0.802939574,0.022052692,0.793070659,0.778742686,0.800795378,0.818720162,0.072420029,0.045532106,0.583415025,0.01562603,0.568038276,0.546743448,0.562369478,0.707050881,0.078177548,0.052182495
Bpas,Bpas_1468,0,3,0,Workers 2011 only ,  NA,295.6666667,0.598119131,0.030118733,0.278745535,0.178932218,0.209050951,0.139402083,0.23336837,0.163357354,0.575848475,0.029140811,0.233469844,0.124386023,0.153526834,0.072867256,0.231238863,0.139367155,0.656139758,0.039535445,0.423592234,0.330635004,0.370170449,0.376238862,0.216258523,0.185648724,0.557963433,0.019762822,0.358888451,0.313887232,0.333650054,0.696050211,0.100871643,0.080891274
Bpas,Bpas_1469,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1470,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1471,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1472,0,2,0,Workers 2011 only ,  NA,226.5,0.763199664,0.02426973,0.559284566,0.502293422,0.526563152,0.549367562,0.183232707,0.114637757,0.77606638,0.024822849,0.555904807,0.500863567,0.525686416,0.547671102,0.181703304,0.125586514,0.691839472,0.031102654,0.402927262,0.339193561,0.370296215,0.524020938,0.183498617,0.151134656,0.534932342,0.018059336,0.316536765,0.279381035,0.297440371,0.693595686,0.103888947,0.080642384
Bpas,Bpas_1473,0,2,0,Workers 2011 only ,  NA,854.5,0.458911049,0.017519072,0.297732142,0.278665602,0.296184674,0.690154646,0.09743036,0.065730916,0.466970315,0.012066177,0.399449267,0.397714604,0.409780781,0.886158832,0.090573416,0.070239905,0.456509035,0.013125498,0.376731341,0.372632047,0.385757545,0.861486286,0.085138798,0.049729957,0.460077255,0.017148059,0.293047827,0.266106312,0.283254371,0.623275306,0.096863256,0.066265194
Bpas,Bpas_1474,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1475,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1476,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1477,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1478,0,2,0,Workers 2011 only ,  NA,303,0.870989535,0.01522186,0.857563458,0.844934576,0.860156436,0.872229557,0.080888377,0.053076858,0.939483592,0.011266487,0.883171888,0.874789764,0.886056251,0.880920894,0.071037523,0.054596269,0.717170095,0.023714055,0.762461773,0.752187389,0.775901444,0.853391341,0.088933253,0.048093616,0.558607617,0.011807699,0.584029192,0.567099656,0.578907355,0.756549333,0.065836651,0.033433668
Bpas,Bpas_1479,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1480,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1481,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1482,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1483,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1484,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1485,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1486,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1487,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1488,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
